problem_1,problem_2,problemclass,resolution,p,ot_distance,maxv
data64_1002.csv,data64_1006.csv,MicroscopyImages,64,1.0,16.72679794382535,126.0
data64_1004.csv,data64_1006.csv,MicroscopyImages,64,1.0,8.69233074208904,126.0
data64_1006.csv,data64_1010.csv,MicroscopyImages,64,1.0,7.123691382071551,126.0
data64_1005.csv,data64_1007.csv,MicroscopyImages,64,1.0,15.324710136207857,126.0
data64_1003.csv,data64_1008.csv,MicroscopyImages,64,1.0,6.830824120671061,126.0
data64_1002.csv,data64_1003.csv,MicroscopyImages,64,1.0,6.570703867660921,126.0
data64_1001.csv,data64_1009.csv,MicroscopyImages,64,1.0,21.587814847980336,126.0
data64_1007.csv,data64_1008.csv,MicroscopyImages,64,1.0,4.336041806646563,126.0
data64_1002.csv,data64_1004.csv,MicroscopyImages,64,1.0,9.271497989644775,126.0
data64_1005.csv,data64_1009.csv,MicroscopyImages,64,2.0,97.626604840636,7938.0
data64_1002.csv,data64_1006.csv,MicroscopyImages,64,2.0,204.3658692569475,7938.0
data64_1004.csv,data64_1006.csv,MicroscopyImages,64,2.0,74.35921307000405,7938.0
data64_1006.csv,data64_1010.csv,MicroscopyImages,64,2.0,42.06075688248524,7938.0
data64_1005.csv,data64_1007.csv,MicroscopyImages,64,2.0,173.8488001597618,7938.0
data64_1003.csv,data64_1008.csv,MicroscopyImages,64,2.0,39.521877884765516,7938.0
data64_1002.csv,data64_1003.csv,MicroscopyImages,64,2.0,39.98954130269218,7938.0
data64_1001.csv,data64_1009.csv,MicroscopyImages,64,2.0,430.1969574745897,7938.0
data64_1007.csv,data64_1008.csv,MicroscopyImages,64,2.0,22.623180914353668,7938.0
data64_1002.csv,data64_1004.csv,MicroscopyImages,64,2.0,67.46484596116026,7938.0
data64_1005.csv,data64_1009.csv,MicroscopyImages,64,Inf,7.778571563648518,63.0
data64_1002.csv,data64_1006.csv,MicroscopyImages,64,Inf,10.684905092608,63.0
data64_1004.csv,data64_1006.csv,MicroscopyImages,64,Inf,6.8283198055917484,63.0
data64_1006.csv,data64_1010.csv,MicroscopyImages,64,Inf,5.112716603806311,63.0
data64_1005.csv,data64_1007.csv,MicroscopyImages,64,Inf,9.988148738081133,63.0
data64_1003.csv,data64_1008.csv,MicroscopyImages,64,Inf,4.757492889203718,63.0
data64_1002.csv,data64_1003.csv,MicroscopyImages,64,Inf,4.66299411390213,63.0
data64_1001.csv,data64_1009.csv,MicroscopyImages,64,Inf,18.251921321672437,63.0
data64_1007.csv,data64_1008.csv,MicroscopyImages,64,Inf,3.0648430654016656,63.0
data64_1002.csv,data64_1004.csv,MicroscopyImages,64,Inf,6.045834311974348,63.0
